date;clot
16/04/2009;53.065
17/04/2009;53.35
20/04/2009;52.45
21/04/2009;55
22/04/2009;53
23/04/2009;54.35
24/04/2009;57.905
27/04/2009;57.18
28/04/2009;55.51
29/04/2009;57.265
30/04/2009;57.39
04/05/2009;58.955
05/05/2009;58.275
06/05/2009;59.17
07/05/2009;58.535
08/05/2009;60.365
11/05/2009;59
12/05/2009;59.02
13/05/2009;57.28
14/05/2009;57.38
15/05/2009;58.02
18/05/2009;60.035
19/05/2009;61.13
20/05/2009;60.07
21/05/2009;58.37
22/05/2009;58.65
25/05/2009;58.3
26/05/2009;58.955
27/05/2009;59.5
28/05/2009;58.575
29/05/2009;58.53
01/06/2009;60.03
02/06/2009;61.345
03/06/2009;61.045
04/06/2009;59.63
05/06/2009;59
08/06/2009;58.21
09/06/2009;58.42
10/06/2009;59.23
11/06/2009;59.7
12/06/2009;59.44
15/06/2009;57.55
16/06/2009;57.63
17/06/2009;56.305
18/06/2009;55.825
19/06/2009;56.59
22/06/2009;54.725
23/06/2009;55.075
24/06/2009;55.86
25/06/2009;55.065
26/06/2009;54.155
29/06/2009;55.6
30/06/2009;54.4
01/07/2009;56.02
02/07/2009;54.61
03/07/2009;54.9
06/07/2009;55.125
07/07/2009;54.22
08/07/2009;52.97
09/07/2009;53.505
10/07/2009;53.48
13/07/2009;54.67
14/07/2009;54.8
15/07/2009;56.945
16/07/2009;57.4
17/07/2009;57.73
20/07/2009;58.85
21/07/2009;59.76
22/07/2009;60.23
23/07/2009;61.85
24/07/2009;62.54
27/07/2009;61.3
28/07/2009;61.11
29/07/2009;62.24
30/07/2009;64
31/07/2009;63.29
03/08/2009;64.09
04/08/2009;63.11
05/08/2009;62.3
06/08/2009;63.64
07/08/2009;63.7
10/08/2009;62.79
11/08/2009;62.2
12/08/2009;63.02
13/08/2009;63.5
14/08/2009;65.62
17/08/2009;63.23
18/08/2009;63.66
19/08/2009;63.19
20/08/2009;64.31
21/08/2009;65.47
24/08/2009;65.35
25/08/2009;66.25
26/08/2009;68.06
27/08/2009;66.75
28/08/2009;67.38
31/08/2009;66.69
01/09/2009;65.66
02/09/2009;65.16
03/09/2009;64.43
04/09/2009;65.06
07/09/2009;66.67
08/09/2009;67.6
09/09/2009;69.57
10/09/2009;69.17
11/09/2009;69.4
14/09/2009;69.1
15/09/2009;68.6
16/09/2009;69.2
17/09/2009;69.74
18/09/2009;68.5
21/09/2009;68.87
22/09/2009;68.89
23/09/2009;67.78
24/09/2009;67.79
25/09/2009;68.1
28/09/2009;69.26
29/09/2009;69.11
30/09/2009;68.73
01/10/2009;68.01
02/10/2009;66.1
05/10/2009;66.64
06/10/2009;68.51
07/10/2009;69.59
08/10/2009;72.33
09/10/2009;72.45
12/10/2009;72.94
13/10/2009;71.52
14/10/2009;72.7
15/10/2009;73.36
16/10/2009;72.45
19/10/2009;74.9
20/10/2009;73.49
21/10/2009;73.44
22/10/2009;72.75
23/10/2009;72
26/10/2009;71.04
27/10/2009;70.95
28/10/2009;69.5
29/10/2009;71
30/10/2009;70.65
02/11/2009;70.15
03/11/2009;69
04/11/2009;70.17
05/11/2009;71.32
06/11/2009;73.03
09/11/2009;74.9
10/11/2009;75.13
11/11/2009;75.22
12/11/2009;74.75
13/11/2009;75.2
16/11/2009;76.2
17/11/2009;74.29
18/11/2009;73.74
19/11/2009;72.76
20/11/2009;71.66
23/11/2009;73.84
24/11/2009;73.34
25/11/2009;73.8
26/11/2009;70.48
27/11/2009;70.92
30/11/2009;69.36
01/12/2009;71.27
02/12/2009;73.3
03/12/2009;72.32
04/12/2009;74.3
07/12/2009;74.54
08/12/2009;73.23
09/12/2009;72.25
10/12/2009;72.27
11/12/2009;73.62
14/12/2009;74.46
15/12/2009;75.85
16/12/2009;77
17/12/2009;75.73
18/12/2009;75.16
21/12/2009;77.4
22/12/2009;78.35
23/12/2009;77.46
24/12/2009;77.9
28/12/2009;77.91
29/12/2009;79.06
30/12/2009;78.28
31/12/2009;78.38
04/01/2010;78.7
05/01/2010;78.33
06/01/2010;79.09
07/01/2010;79.99
08/01/2010;81.07
11/01/2010;81.7
12/01/2010;79.35
13/01/2010;79.95
14/01/2010;80.06
15/01/2010;79.41
18/01/2010;80.81
19/01/2010;82.1
20/01/2010;79.89
21/01/2010;78.44
22/01/2010;77.77
25/01/2010;77.8
26/01/2010;79.44
27/01/2010;79.06
28/01/2010;78.11
29/01/2010;79.07
01/02/2010;79.33
02/02/2010;81.1
03/02/2010;81.45
04/02/2010;77.96
05/02/2010;74.87
08/02/2010;76.23
09/02/2010;77.05
10/02/2010;77.82
11/02/2010;77.58
12/02/2010;76.42
15/02/2010;77.28
16/02/2010;77.5
17/02/2010;78.69
18/02/2010;79.6
19/02/2010;79.55
22/02/2010;80.08
23/02/2010;79
24/02/2010;78.7
25/02/2010;76.76
26/02/2010;79.6
01/03/2010;81.74
02/03/2010;83.12
03/03/2010;84.43
04/03/2010;84.01
05/03/2010;86.97
08/03/2010;85.9
09/03/2010;85.69
10/03/2010;86.42
11/03/2010;85.76
12/03/2010;86.41
15/03/2010;85.68
16/03/2010;86.74
17/03/2010;86
18/03/2010;87.18
19/03/2010;86.62
22/03/2010;86.81
23/03/2010;87.54
24/03/2010;87.11
25/03/2010;87.51
26/03/2010;87.2
29/03/2010;87.6
30/03/2010;86.89
31/03/2010;86.54
01/04/2010;88.6
06/04/2010;88.34
07/04/2010;86.48
08/04/2010;84.95
09/04/2010;88.39
12/04/2010;88.75
13/04/2010;90.05
14/04/2010;90.39
15/04/2010;90.52
16/04/2010;87.53
19/04/2010;86.72
20/04/2010;88.17
21/04/2010;87.6
22/04/2010;87.17
23/04/2010;88.97
26/04/2010;90.37
27/04/2010;86.3
28/04/2010;84.86
29/04/2010;86.93
30/04/2010;86.84
03/05/2010;87.28
04/05/2010;84.21
05/05/2010;84.01
06/05/2010;83.66
07/05/2010;79.51
10/05/2010;87.53
11/05/2010;88.23
12/05/2010;91.17
13/05/2010;91.65
14/05/2010;88.06
17/05/2010;87.09
18/05/2010;88.89
19/05/2010;86.16
20/05/2010;83.41
21/05/2010;83.74
24/05/2010;82.85
25/05/2010;81.24
26/05/2010;84.08
27/05/2010;86.87
28/05/2010;85.92
31/05/2010;86.22
01/06/2010;86.72
02/06/2010;87.38
03/06/2010;89.09
04/06/2010;87.27
07/06/2010;86.74
08/06/2010;86.9
09/06/2010;90.2
10/06/2010;91.32
11/06/2010;91.91
14/06/2010;92.08
15/06/2010;91.42
16/06/2010;92.12
17/06/2010;93.25
18/06/2010;93.39
21/06/2010;96.58
22/06/2010;95.3
23/06/2010;94.28
24/06/2010;92.04
25/06/2010;90.79
28/06/2010;93.27
29/06/2010;89.24
30/06/2010;89.81
01/07/2010;85.2
02/07/2010;84.92
05/07/2010;85.04
06/07/2010;87.72
07/07/2010;87.21
08/07/2010;89.07
09/07/2010;89.9
12/07/2010;89.38
13/07/2010;91.52
14/07/2010;91.3
15/07/2010;90.95
16/07/2010;89.48
19/07/2010;88.3
20/07/2010;88.86
21/07/2010;90.06
22/07/2010;93.25
23/07/2010;94.1
26/07/2010;95.03
27/07/2010;92.26
28/07/2010;92.65
29/07/2010;92.05
30/07/2010;93.62
02/08/2010;95.31
03/08/2010;94.86
04/08/2010;95.17
05/08/2010;96.51
06/08/2010;95.63
09/08/2010;97.4
10/08/2010;96.28
11/08/2010;93.18
12/08/2010;92.93
13/08/2010;93.64
16/08/2010;93.56
17/08/2010;94.67
18/08/2010;95.09
19/08/2010;93.6
20/08/2010;92.27
23/08/2010;93.04
24/08/2010;91.72
25/08/2010;90.29
26/08/2010;91.99
27/08/2010;91.67
30/08/2010;91.6
31/08/2010;91.77
01/09/2010;95.8
02/09/2010;96.47
03/09/2010;98.31
06/09/2010;97.47
07/09/2010;97.05
08/09/2010;98.42
09/09/2010;98.28
10/09/2010;98.89
13/09/2010;99.91
14/09/2010;101.3
15/09/2010;101.15
16/09/2010;101.1
17/09/2010;100.85
20/09/2010;104.3
21/09/2010;104.95
22/09/2010;102.55
23/09/2010;102.1
24/09/2010;105.8
27/09/2010;104.1
28/09/2010;106.5
29/09/2010;106.8
30/09/2010;107.6
01/10/2010;105.15
04/10/2010;105.8
05/10/2010;107.9
06/10/2010;109.75
07/10/2010;110
08/10/2010;109.7
11/10/2010;110.4
12/10/2010;109.75
13/10/2010;110.85
14/10/2010;111.45
15/10/2010;111.9
18/10/2010;111.5
19/10/2010;108.85
20/10/2010;108.9
21/10/2010;114.25
22/10/2010;113.3
25/10/2010;116
26/10/2010;112.35
27/10/2010;111.95
28/10/2010;112.35
29/10/2010;112.6
01/11/2010;113.35
02/11/2010;114.7
03/11/2010;116
04/11/2010;119.2
05/11/2010;119.1
08/11/2010;118.75
09/11/2010;117.7
10/11/2010;116.8
11/11/2010;117.85
12/11/2010;116.1
15/11/2010;116.85
16/11/2010;115
17/11/2010;115.15
18/11/2010;118
19/11/2010;119.4
22/11/2010;119.799
23/11/2010;116.8
24/11/2010;118.95
25/11/2010;120.85
26/11/2010;119.85
29/11/2010;117.05
30/11/2010;116.85
01/12/2010;118.5
02/12/2010;122.199
03/12/2010;121.699
06/12/2010;121.449
07/12/2010;124.099
08/12/2010;121.999
09/12/2010;120.699
10/12/2010;121.499
13/12/2010;123.199
14/12/2010;123.749
15/12/2010;121.499
16/12/2010;123.549
17/12/2010;123.199
20/12/2010;123.399
21/12/2010;125.449
22/12/2010;127.699
23/12/2010;127.349
24/12/2010;127.999
27/12/2010;125.649
28/12/2010;124.649
29/12/2010;125.449
30/12/2010;123.349
31/12/2010;123.099
03/01/2011;124.349
04/01/2011;121.549
05/01/2011;119.799
06/01/2011;121.899
07/01/2011;119.35
10/01/2011;118.95
11/01/2011;121.249
12/01/2011;121.049
13/01/2011;118.85
14/01/2011;116.75
17/01/2011;116.7
18/01/2011;118.3
19/01/2011;114.4
